word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
he;2;19;10;6;190;38
voulaient;9;178;46;27;8188;1602
manifestations;14;322;66;42;21252;4508
week;4;171;22;12;3762;684
end;3;204;14;9;2856;612
parce;5;1623;23;15;37329;8115
gens;4;1366;20;12;27320;5464
conge;5;32;21;15;672;160
reunir;6;135;37;18;4995;810
autant;6;897;31;18;27807;5382
assez;5;2145;28;15;60060;10725
rare;4;471;24;12;11304;1884
preuve;6;282;32;18;9024;1692
yeux;4;951;24;12;22824;3804
belga;5;192;21;15;4032;960
eme;3;775;15;9;11625;2325
victoire;8;944;40;24;37760;7552
roland;6;140;32;18;4480;840
garros;6;68;31;18;2108;408
rafa;4;6;20;12;120;24
riche;5;702;24;15;16848;3510
evenements;10;376;53;30;19928;3760
sportifs;8;208;47;24;9776;1664
es;2;619;11;6;6809;1238
capable;7;574;30;21;17220;4018
citer;5;260;24;15;6240;1300
premiers;8;1700;41;24;69700;13600
matches;7;233;32;21;7456;1631
coupe;5;1099;25;15;27475;5495
feminine;8;115;40;24;4600;920
football;8;884;39;24;34476;7072
commence;8;654;35;24;22890;5232
juin;4;2850;21;12;59850;11400
match;5;802;21;15;16842;4010
qualification;13;90;59;39;5310;1170
euro;4;362;23;12;8326;1448
entre;5;11581;26;15;301106;57905
diables;7;160;30;21;4800;1120
rouges;6;540;34;18;18360;3240
kazakhstan;10;83;49;30;4067;830
samedi;6;731;29;18;21199;4386
grand;5;6287;23;15;144601;31435
prix;4;1650;23;12;37950;6600
formule;7;320;37;21;11840;2240
canada;6;614;21;18;12894;3684
dimanche;8;565;33;24;18645;4520
finale;6;835;27;18;22545;5010
etc;3;1773;15;9;26595;5319
espagne;7;1757;34;21;59738;12299
autriche;8;1184;38;24;44992;9472
exploit;7;131;38;21;4978;917
avons;5;793;28;15;22204;3965
parler;6;1255;30;18;37650;7530
rafael;6;68;29;18;1972;408
nadal;5;76;23;15;1748;380
espagnol;8;612;40;24;24480;4896
connu;5;1801;24;15;43224;9005
gagner;6;499;27;18;13473;2994
terre;5;4134;27;15;111618;20670
battue;6;105;30;18;3150;630
or;2;2133;12;6;25596;4266
tournoi;7;334;38;21;12692;2338
tennis;6;248;31;18;7688;1488
deroule;7;497;37;21;18389;3479
type;4;1422;24;12;34128;5688
terrain;7;622;35;21;21770;4354
face;4;1923;16;12;30768;7692
dominic;7;16;31;21;496;112
thiem;5;14;26;15;364;70
autrichien;10;137;47;30;6439;1370
gagne;5;381;21;15;8001;1905
an;2;1718;9;6;15462;3436
magnifique;10;173;47;30;8131;1730
numero;6;561;34;18;19074;3366
mondial;7;538;31;21;16678;3766
apres;5;10577;29;15;306733;52885
