word,Nb_char (C_w),Freq (F_w),Nb_scan_block (S_w_b),Nb_scan_key (S_w_k),Nb_scan (S_w),Nb_act_block,Nb_act_key,Nb_act,S_w_b x F_w,S_w_k x F_w,S_w x F_w,C_w x F_w,,,
cependant ,10,3018,0,92,92,0,10,10,0,277656,277656,30180,,,
ouest ,6,2997,0,86,86,0,6,6,0,257742,257742,17982,,,
mars ,5,2986,0,56,56,0,5,5,0,167216,167216,14930,,,
age ,4,2958,0,17,17,0,4,4,0,50286,50286,11832,,,
louis ,6,2947,0,82,82,0,6,6,0,241654,241654,17682,,,
mai ,4,2914,0,27,27,0,4,4,0,78678,78678,11656,,,
toute ,6,2905,0,87,87,0,6,6,0,252735,252735,17430,,,
afin ,5,2886,0,35,35,0,5,5,0,101010,101010,14430,,,
population ,11,2880,0,150,150,0,11,11,0,432000,432000,31680,,,
compte ,7,2868,0,79,79,0,7,7,0,226572,226572,20076,,,
pere ,5,2868,0,49,49,0,5,5,0,140532,140532,14340,,,
te ,3,2851,0,28,28,0,3,3,0,79828,79828,8553,,,
juin ,5,2850,0,59,59,0,5,5,0,168150,168150,14250,,,
hommes ,7,2849,0,80,80,0,7,7,0,227920,227920,19943,,,
eux ,4,2837,0,54,54,0,4,4,0,153198,153198,11348,,,
president ,10,2820,0,120,120,0,10,10,0,338400,338400,28200,,,
voir ,5,2805,0,69,69,0,5,5,0,193545,193545,14025,,,
mois ,5,2804,0,61,61,0,5,5,0,171044,171044,14020,,,
suite ,6,2791,0,80,80,0,6,6,0,223280,223280,16746,,,
nombreuses ,11,2788,0,142,142,0,11,11,0,395896,395896,30668,,,
nouveau ,8,2785,0,107,107,0,8,8,0,297995,297995,22280,,,
corps ,6,2756,0,77,77,0,6,6,0,212212,212212,16536,,,
parfois ,8,2751,0,92,92,0,8,8,0,253092,253092,22008,,,
octobre ,8,2732,0,86,86,0,8,8,0,234952,234952,21856,,,
ile ,4,2730,0,30,30,0,4,4,0,81900,81900,10920,,,
cest ,5,2727,0,52,52,0,5,5,0,141804,141804,13635,,,
ceux ,5,2718,0,58,58,0,5,5,0,157644,157644,13590,,,
millions ,9,2717,0,112,112,0,9,9,0,304304,304304,24453,,,
groupe ,7,2712,0,89,89,0,7,7,0,241368,241368,18984,,,
republique ,11,2712,0,137,137,0,11,11,0,371544,371544,29832,,,
pourquoi ,9,2711,0,141,141,0,9,9,0,382251,382251,24399,,,
certaines ,10,2701,0,104,104,0,10,10,0,280904,280904,27010,,,
dit ,4,2699,0,37,37,0,4,4,0,99863,99863,10796,,,
janvier ,8,2682,0,87,87,0,8,8,0,233334,233334,21456,,,
reste ,6,2673,0,73,73,0,6,6,0,195129,195129,16038,,,
septembre ,10,2648,0,113,113,0,10,10,0,299224,299224,26480,,,
nouvelle ,9,2641,0,115,115,0,9,9,0,303715,303715,23769,,,
grands ,7,2632,0,70,70,0,7,7,0,184240,184240,18424,,,
des ,4,2626,0,32,32,0,4,4,0,84032,84032,10504,,,
trop ,5,2618,0,74,74,0,5,5,0,193732,193732,13090,,,
ensuite ,8,2614,0,101,101,0,8,8,0,264014,264014,20912,,,
personne ,9,2608,0,115,115,0,9,9,0,299920,299920,23472,,,
chez ,5,2602,0,47,47,0,5,5,0,122294,122294,13010,,,
quatre ,7,2587,0,89,89,0,7,7,0,230243,230243,18109,,,
origine ,8,2580,0,85,85,0,8,8,0,219300,219300,20640,,,
la ,3,2559,0,16,16,0,3,3,0,40944,40944,7677,,,
r ,2,2550,0,20,20,0,2,2,0,51000,51000,5100,,,
allemagne ,10,2546,0,80,80,0,10,10,0,203680,203680,25460,,,
empereur ,9,2519,0,110,110,0,9,9,0,277090,277090,22671,,,
article ,8,2515,0,76,76,0,8,8,0,191140,191140,20120,,,
appelle ,8,2496,0,75,75,0,8,8,0,187200,187200,19968,,,
general ,8,2495,0,70,70,0,8,8,0,174650,174650,19960,,,
eu ,3,2492,0,29,29,0,3,3,0,72268,72268,7476,,,
b ,2,2477,0,4,4,0,2,2,0,9908,9908,4954,,,
font ,5,2476,0,60,60,0,5,5,0,148560,148560,12380,,,
jeu ,4,2464,0,40,40,0,4,4,0,98560,98560,9856,,,
juillet ,8,2463,0,97,97,0,8,8,0,238911,238911,19704,,,
avril ,6,2456,0,68,68,0,6,6,0,167008,167008,14736,,,
deja ,5,2443,0,25,25,0,5,5,0,61075,61075,12215,,,
ca ,3,2400,0,7,7,0,3,3,0,16800,16800,7200,,,
suis ,5,2398,0,73,73,0,5,5,0,175054,175054,11990,,,
capitale ,9,2393,0,76,76,0,9,9,0,181868,181868,21537,,,
centre ,7,2340,0,72,72,0,7,7,0,168480,168480,16380,,,
petits ,7,2331,0,96,96,0,7,7,0,223776,223776,16317,,,
veut ,5,2329,0,73,73,0,5,5,0,170017,170017,11645,,,
tard ,5,2312,0,48,48,0,5,5,0,110976,110976,11560,,,
anglais ,8,2305,0,71,71,0,8,8,0,163655,163655,18440,,,
site ,5,2292,0,58,58,0,5,5,0,132936,132936,11460,,,
tour ,5,2290,0,79,79,0,5,5,0,180910,180910,11450,,,
ii ,3,2284,0,21,21,0,3,3,0,47964,47964,6852,,,
droit ,6,2280,0,72,72,0,6,6,0,164160,164160,13680,,,
etant ,6,2271,0,66,66,0,6,6,0,149886,149886,13626,,,
dernier ,8,2256,0,81,81,0,8,8,0,182736,182736,18048,,,
ensemble ,9,2216,0,84,84,0,9,9,0,186144,186144,19944,,,
especes ,8,2215,0,80,80,0,8,8,0,177200,177200,17720,,,
decembre ,9,2210,0,64,64,0,9,9,0,141440,141440,19890,,,
novembre ,9,2205,0,103,103,0,9,9,0,227115,227115,19845,,,
seul ,5,2202,0,62,62,0,5,5,0,136524,136524,11010,,,
fevrier ,8,2200,0,91,91,0,8,8,0,200200,200200,17600,,,
point ,6,2188,0,80,80,0,6,6,0,175040,175040,13128,,,
langue ,7,2188,0,67,67,0,7,7,0,146596,146596,15316,,,
aout ,5,2187,0,62,62,0,5,5,0,135594,135594,10935,,,
italie ,7,2185,0,63,63,0,7,7,0,137655,137655,15295,,,
jean ,5,2183,0,35,35,0,5,5,0,76405,76405,10915,,,
notre ,6,2171,0,78,78,0,6,6,0,169338,169338,13026,,,
travail ,8,2169,0,91,91,0,8,8,0,197379,197379,17352,,,
grandes ,8,2166,0,76,76,0,8,8,0,164616,164616,17328,,,
merci ,6,2152,0,54,54,0,6,6,0,116208,116208,12912,,,
assez ,6,2145,0,76,76,0,6,6,0,163020,163020,12870,,,
or ,3,2133,0,36,36,0,3,3,0,76788,76788,6399,,,
ecole ,6,2132,0,46,46,0,6,6,0,98072,98072,12792,,,
systeme ,8,2124,0,114,114,0,8,8,0,242136,242136,16992,,,
serie ,6,2116,0,62,62,0,6,6,0,131192,131192,12696,,,
long ,5,2098,0,53,53,0,5,5,0,111194,111194,10490,,,
moyen ,6,2080,0,78,78,0,6,6,0,162240,162240,12480,,,
parti ,6,2070,0,70,70,0,6,6,0,144900,144900,12420,,,
mere ,5,2070,0,46,46,0,5,5,0,95220,95220,10350,,,
ier ,4,2068,0,36,36,0,4,4,0,74448,74448,8272,,,
periode ,8,2062,0,80,80,0,8,8,0,164960,164960,16496,,,
durant ,7,2057,0,85,85,0,7,7,0,174845,174845,14399,,,
agit ,5,2050,0,42,42,0,5,5,0,86100,86100,10250,,,
differentes ,12,2044,0,123,123,0,12,12,0,251412,251412,24528,,,
ayant ,6,2034,0,67,67,0,6,6,0,136278,136278,12204,,,
jeux ,5,2020,0,65,65,0,5,5,0,131300,131300,10100,,,
bonjour ,8,2017,0,103,103,0,8,8,0,207751,207751,16136,,,
afrique ,8,2003,0,85,85,0,8,8,0,170255,170255,16024,,,
chef ,5,1984,0,27,27,0,5,5,0,53568,53568,9920,,,
autour ,7,1982,0,103,103,0,7,7,0,204146,204146,13874,,,
differents ,11,1973,0,117,117,0,11,11,0,230841,230841,21703,,,
generalement ,13,1972,0,132,132,0,13,13,0,260304,260304,25636,,,
x ,2,1968,0,26,26,0,2,2,0,51168,51168,3936,,,
page ,5,1967,0,34,34,0,5,5,0,66878,66878,9835,,,
charles ,8,1966,0,74,74,0,8,8,0,145484,145484,15728,,,
plupart ,8,1963,0,112,112,0,8,8,0,219856,219856,15704,,,
doivent ,8,1962,0,97,97,0,8,8,0,190314,190314,15696,,,
jeune ,6,1960,0,61,61,0,6,6,0,119560,119560,11760,,,
tete ,5,1958,0,55,55,0,5,5,0,107690,107690,9790,,,
mondiale ,9,1955,0,82,82,0,9,9,0,160310,160310,17595,,,
villes ,7,1953,0,86,86,0,7,7,0,167958,167958,13671,,,
rome ,5,1953,0,56,56,0,5,5,0,109368,109368,9765,,,
mot ,4,1952,0,52,52,0,4,4,0,101504,101504,7808,,,
part ,5,1952,0,60,60,0,5,5,0,117120,117120,9760,,,
seconde ,8,1952,0,73,73,0,8,8,0,142496,142496,15616,,,
petite ,7,1943,0,82,82,0,7,7,0,159326,159326,13601,,,
metres ,7,1935,0,87,87,0,7,7,0,168345,168345,13545,,,
dieu ,5,1929,0,44,44,0,5,5,0,84876,84876,9645,,,
femmes ,7,1924,0,68,68,0,7,7,0,130832,130832,13468,,,
face ,5,1923,0,20,20,0,5,5,0,38460,38460,9615,,,
belgique ,9,1890,0,87,87,0,9,9,0,164430,164430,17010,,,
cause ,6,1889,0,55,55,0,6,6,0,103895,103895,11334,,,
musique ,8,1888,0,113,113,0,8,8,0,213344,213344,15104,,,
situee ,7,1886,0,86,86,0,7,7,0,162196,162196,13202,,,
jeunes ,7,1876,0,81,81,0,7,7,0,151956,151956,13132,,,
ur ,3,1868,0,42,42,0,3,3,0,78456,78456,5604,,,
haut ,5,1865,0,55,55,0,5,5,0,102575,102575,9325,,,
appele ,7,1865,0,62,62,0,7,7,0,115630,115630,13055,,,
aide ,5,1865,0,24,24,0,5,5,0,44760,44760,9325,,,
donne ,6,1856,0,58,58,0,6,6,0,107648,107648,11136,,,
pierre ,7,1848,0,78,78,0,7,7,0,144144,144144,12936,,,
av ,3,1848,0,26,26,0,3,3,0,48048,48048,5544,,,
ancien ,7,1846,0,53,53,0,7,7,0,97838,97838,12922,,,
moment ,7,1846,0,87,87,0,7,7,0,160602,160602,12922,,,
equipe ,7,1831,0,80,80,0,7,7,0,146480,146480,12817,,,
ailleurs ,9,1828,0,106,106,0,9,9,0,193768,193768,16452,,,
russie ,7,1827,0,98,98,0,7,7,0,179046,179046,12789,,,
important ,10,1822,0,136,136,0,10,10,0,247792,247792,18220,,,
soleil ,7,1816,0,79,79,0,7,7,0,143464,143464,12712,,,
regions ,8,1815,0,95,95,0,8,8,0,172425,172425,14520,,,
utilise ,8,1811,0,103,103,0,8,8,0,186533,186533,14488,,,
avaient ,8,1802,0,80,80,0,8,8,0,144160,144160,14416,,,
deuxieme ,9,1801,0,95,95,0,9,9,0,171095,171095,16209,,,
connu ,6,1801,0,73,73,0,6,6,0,131473,131473,10806,,,
jamais ,7,1789,0,60,60,0,7,7,0,107340,107340,12523,,,
parmi ,6,1784,0,63,63,0,6,6,0,112392,112392,10704,,,
mon ,4,1783,0,46,46,0,4,4,0,82018,82018,7132,,,
lorsque ,8,1780,0,115,115,0,8,8,0,204700,204700,14240,,,
ordre ,6,1778,0,66,66,0,6,6,0,117348,117348,10668,,,
passe ,6,1778,0,66,66,0,6,6,0,117348,117348,10668,,,
etc ,4,1773,0,32,32,0,4,4,0,56736,56736,7092,,,
comment ,8,1762,0,91,91,0,8,8,0,160342,160342,14096,,,
espagne ,8,1757,0,75,75,0,8,8,0,131775,131775,14056,,,
fille ,6,1751,0,50,50,0,6,6,0,87550,87550,10506,,,
film ,5,1741,0,45,45,0,5,5,0,78345,78345,8705,,,
bois ,5,1738,0,50,50,0,5,5,0,86900,86900,8690,,,
possible ,9,1735,0,106,106,0,9,9,0,183910,183910,15615,,,
particulier ,12,1721,0,144,144,0,12,12,0,247824,247824,20652,,,
an ,3,1718,0,18,18,0,3,3,0,30924,30924,5154,,,
ecrit ,6,1706,0,61,61,0,6,6,0,104066,104066,10236,,,
angleterre ,11,1703,0,116,116,0,11,11,0,197548,197548,18733,,,
vient ,6,1702,0,76,76,0,6,6,0,129352,129352,10212,,,
donne ,6,1702,0,58,58,0,6,6,0,98716,98716,10212,,,
premiers ,9,1700,0,112,112,0,9,9,0,190400,190400,15300,,,
niveau ,7,1697,0,79,79,0,7,7,0,134063,134063,11879,,,
articles ,9,1696,0,96,96,0,9,9,0,162816,162816,15264,,,
but ,4,1691,0,47,47,0,4,4,0,79477,79477,6764,,,
