word,Nb_char (C_w),Freq (F_w),Nb_scan_block (S_w_b),Nb_scan_key (S_w_k),Nb_scan (S_w),Nb_act_block,Nb_act_key,Nb_act,S_w_b x F_w,S_w_k x F_w,S_w x F_w,C_w x F_w,,,
department ,11,1,22,24,46,11,11,22,22,24,46,11,,,
depot ,6,1,11,14,25,6,6,12,11,14,25,6,,,
desired ,8,1,11,24,35,8,8,16,11,24,35,8,,,
destruction ,12,1,23,30,53,12,12,24,23,30,53,12,,,
details ,8,1,13,21,34,8,8,16,13,21,34,8,,,
detector ,9,1,15,20,35,9,9,18,15,20,35,9,,,
dewdrop ,8,1,16,24,40,8,8,16,16,24,40,8,,,
diction ,8,1,17,18,35,8,8,16,17,18,35,8,,,
dine ,5,1,8,12,20,5,5,10,8,12,20,5,,,
dinosaurs ,10,1,18,29,47,10,10,20,18,29,47,10,,,
diplomacy ,10,1,25,28,53,10,10,20,25,28,53,10,,,
dipped ,7,1,14,22,36,7,7,14,14,22,36,7,,,
direction ,10,1,19,24,43,10,10,20,19,24,43,10,,,
disaster ,9,1,15,23,38,9,9,18,15,23,38,9,,,
discharged ,11,1,21,33,54,11,11,22,21,33,54,11,,,
discouraging ,13,1,25,42,67,13,13,26,25,42,67,13,,,
discovering ,12,1,23,37,60,12,12,24,23,37,60,12,,,
discreet ,9,1,16,22,38,9,9,18,16,22,38,9,,,
disgusting ,11,1,22,34,56,11,11,22,22,34,56,11,,,
disturbance ,12,1,26,31,57,12,12,24,26,31,57,12,,,
dolphins ,9,1,22,22,44,9,9,18,22,22,44,9,,,
door ,5,1,7,14,21,5,5,10,7,14,21,5,,,
dormitory ,10,1,20,27,47,10,10,20,20,27,47,10,,,
dow ,4,1,9,10,19,4,4,8,9,10,19,4,,,
down ,5,1,12,11,23,5,5,10,12,11,23,5,,,
dream ,6,1,10,16,26,6,6,12,10,16,26,6,,,
dreamers ,9,1,15,24,39,9,9,18,15,24,39,9,,,
dreams ,7,1,13,18,31,7,7,14,13,18,31,7,,,
dress ,6,1,10,16,26,6,6,12,10,16,26,6,,,
drivers ,8,1,11,28,39,8,8,16,11,28,39,8,,,
driveways ,10,1,19,33,52,10,10,20,19,33,52,10,,,
driving ,8,1,13,29,42,8,8,16,13,29,42,8,,,
drove ,6,1,7,21,28,6,6,12,7,21,28,6,,,
duck ,5,1,9,20,29,5,5,10,9,20,29,5,,,
due ,4,1,4,14,18,4,4,8,4,14,18,4,,,
each ,5,1,11,9,20,5,5,10,11,9,20,5,,,
early ,6,1,9,18,27,6,6,12,9,18,27,6,,,
earth ,6,1,10,12,22,6,6,12,10,12,22,6,,,
easy ,5,1,9,12,21,5,5,10,9,12,21,5,,,
eat ,4,1,5,7,12,4,4,8,5,7,12,4,,,
economy ,8,1,21,15,36,8,8,16,21,15,36,8,,,
