word,Nb_char (C_w),Freq (F_w),Nb_scan_block (S_w_b),Nb_scan_key (S_w_k),Nb_scan (S_w),Nb_act_block,Nb_act_key,Nb_act,S_w_b x F_w,S_w_k x F_w,S_w x F_w,C_w x F_w,,,
modele ,7,830,0,29,29,0,7,7,0,24070,24070,5810,,,
nourriture ,11,829,0,38,38,0,11,11,0,31502,31502,9119,,,
pont ,5,829,0,17,17,0,5,5,0,14093,14093,4145,,,
longueur ,9,827,0,18,18,0,9,9,0,14886,14886,7443,,,
contient ,9,827,0,22,22,0,9,9,0,18194,18194,7443,,,
toutefois ,10,825,0,30,30,0,10,10,0,24750,24750,8250,,,
obtient ,8,821,0,35,35,0,8,8,0,28735,28735,6568,,,
utilisee ,9,820,0,38,38,0,9,9,0,31160,31160,7380,,,
pouvait ,8,820,0,15,15,0,8,8,0,12300,12300,6560,,,
ciel ,5,813,0,18,18,0,5,5,0,14634,14634,4065,,,
message ,8,813,0,23,23,0,8,8,0,18699,18699,6504,,,
physique ,9,812,0,24,24,0,9,9,0,19488,19488,7308,,,
arbres ,7,812,0,40,40,0,7,7,0,32480,32480,5684,,,
comprendre ,11,811,0,22,22,0,11,11,0,17842,17842,8921,,,
tels ,5,810,0,26,26,0,5,5,0,21060,21060,4050,,,
territoires ,12,810,0,30,30,0,12,12,0,24300,24300,9720,,,
fond ,5,810,0,19,19,0,5,5,0,15390,15390,4050,,,
recoit ,7,808,0,39,39,0,7,7,0,31512,31512,5656,,,
regles ,7,806,0,53,53,0,7,7,0,42718,42718,5642,,,
images ,7,806,0,33,33,0,7,7,0,26598,26598,5642,,,
altitude ,9,806,0,37,37,0,9,9,0,29822,29822,7254,,,
