word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;;
college;7;1563;61;21;95343;10941;;;
prendre;7;1559;46;21;71714;10913;;;
fonction;8;1557;52;24;80964;12456;;;
rouge;5;1555;40;15;62200;7775;;;
the;3;1555;27;9;41985;4665;;;
mouvement;9;1548;86;27;133128;13932;;;
tes;3;1546;26;9;40196;4638;;;
seule;5;1543;48;15;74064;7715;;;
departement;11;1543;83;33;128069;16973;;;
couleur;7;1539;61;21;93879;10773;;;
ministre;8;1533;75;24;114975;12264;;;
ligne;5;1530;45;15;68850;7650;;;
devant;6;1516;42;18;63672;9096;;;
romain;6;1513;46;18;69598;9078;;;
succes;6;1507;46;18;69322;9042;;;
mieux;5;1505;58;15;87290;7525;;;
militaire;9;1503;90;27;135270;13527;;;
creer;5;1501;35;15;52535;7505;;;
moi;3;1495;31;9;46345;4485;;;
bonne;5;1488;24;15;35712;7440;;;
mis;3;1487;35;9;52045;4461;;;
chine;5;1487;37;15;55019;7435;;;
abord;5;1486;26;15;38636;7430;;;
savoir;6;1484;48;18;71232;8904;;;
mesure;6;1482;57;18;84474;8892;;;
taille;6;1481;59;18;87379;8886;;;
serait;6;1481;48;18;71088;8886;;;
air;3;1477;22;9;32494;4431;;;
situe;5;1475;48;15;70800;7375;;;
ni;2;1475;15;6;22125;2950;;;
nos;3;1475;18;9;26550;4425;;;
bataille;8;1475;66;24;97350;11800;;;
malgre;6;1474;56;18;82544;8844;;;
milieu;6;1469;69;18;101361;8814;;;
met;3;1457;32;9;46624;4371;;;
raison;6;1455;40;18;58200;8730;;;
mal;3;1455;32;9;46560;4365;;;
donner;6;1447;34;18;49198;8682;;;
union;5;1446;35;15;50610;7230;;;
enfant;6;1441;36;18;51876;8646;;;
produit;7;1440;57;21;82080;10080;;;
animal;6;1440;50;18;72000;8640;;;
trouver;7;1435;61;21;87535;10045;;;
sol;3;1432;28;9;40096;4296;;;
theatre;7;1429;55;21;78595;10003;;;
aller;5;1429;46;15;65734;7145;;;
rien;4;1428;30;12;42840;5712;;;
type;4;1422;38;12;54036;5688;;;
maison;6;1420;47;18;66740;8520;;;
livre;5;1420;52;15;73840;7100;;;
ma;2;1407;18;6;25326;2814;;;
energie;7;1406;53;21;74518;9842;;;
vu;2;1405;23;6;32315;2810;;;
soldats;7;1403;56;21;78568;9821;;;
palais;6;1403;46;18;64538;8418;;;
napoleon;8;1401;48;24;67248;11208;;;
frere;5;1398;38;15;53124;6990;;;
commune;7;1391;62;21;86242;9737;;;
importante;10;1389;79;30;109731;13890;;;
espace;6;1386;37;18;51282;8316;;;
celebre;7;1382;52;21;71864;9674;;;
loi;3;1381;30;9;41430;4143;;;
chateau;7;1380;49;21;67620;9660;;;
as;2;1378;12;6;16536;2756;;;
base;4;1373;23;12;31579;5492;;;
meurt;5;1373;51;15;70023;6865;;;
parle;5;1367;38;15;51946;6835;;;
gens;4;1366;29;12;39614;5464;;;
art;3;1365;21;9;28665;4095;;;
plut;4;1362;41;12;55842;5448;;;
marie;5;1352;44;15;59488;6760;;;
films;5;1348;57;15;76836;6740;;;
argent;6;1343;41;18;55063;8058;;;
droite;6;1342;47;18;63074;8052;;;
mes;3;1342;31;9;41602;4026;;;
ados;4;1341;23;12;30843;5364;;;
