word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;;
millions;8;2717;37;16;100529;21736;;;
groupe;6;2712;32;12;86784;16272;;;
republique;10;2712;50;20;135600;27120;;;
pourquoi;8;2711;44;16;119284;21688;;;
certaines;9;2701;37;18;99937;24309;;;
dit;3;2699;15;6;40485;8097;;;
janvier;7;2682;35;14;93870;18774;;;
reste;5;2673;19;10;50787;13365;;;
septembre;9;2648;41;18;108568;23832;;;
nouvelle;8;2641;38;16;100358;21128;;;
grands;6;2632;29;12;76328;15792;;;
des;3;2626;12;6;31512;7878;;;
trop;4;2618;22;8;57596;10472;;;
ensuite;7;2614;27;14;70578;18298;;;
personne;8;2608;34;16;88672;20864;;;
chez;4;2602;26;8;67652;10408;;;
quatre;6;2587;29;12;75023;15522;;;
origine;7;2580;33;14;85140;18060;;;
la;2;2559;9;4;23031;5118;;;
r;1;2550;5;2;12750;2550;;;
allemagne;9;2546;41;18;104386;22914;;;
empereur;8;2519;36;16;90684;20152;;;
article;7;2515;32;14;80480;17605;;;
appelle;7;2496;32;14;79872;17472;;;
general;7;2495;31;14;77345;17465;;;
eu;2;2492;8;4;19936;4984;;;
b;1;2477;7;2;17339;2477;;;
font;4;2476;22;8;54472;9904;;;
jeu;3;2464;16;6;39424;7392;;;
juillet;7;2463;35;14;86205;17241;;;
avril;5;2456;25;10;61400;12280;;;
deja;4;2443;21;8;51303;9772;;;
ca;2;2400;10;4;24000;4800;;;
suis;4;2398;15;8;35970;9592;;;
capitale;8;2393;37;16;88541;19144;;;
centre;6;2340;26;12;60840;14040;;;
petits;6;2331;26;12;60606;13986;;;
veut;4;2329;20;8;46580;9316;;;
tard;4;2312;20;8;46240;9248;;;
anglais;7;2305;31;14;71455;16135;;;
site;4;2292;15;8;34380;9168;;;
tour;4;2290;21;8;48090;9160;;;
ii;2;2284;8;4;18272;4568;;;
droit;5;2280;26;10;59280;11400;;;
etant;5;2271;21;10;47691;11355;;;
dernier;7;2256;30;14;67680;15792;;;
ensemble;8;2216;34;16;75344;17728;;;
especes;7;2215;27;14;59805;15505;;;
decembre;8;2210;39;16;86190;17680;;;
novembre;8;2205;41;16;90405;17640;;;
seul;4;2202;16;8;35232;8808;;;
fevrier;7;2200;34;14;74800;15400;;;
point;5;2188;25;10;54700;10940;;;
langue;6;2188;28;12;61264;13128;;;
aout;4;2187;20;8;43740;8748;;;
italie;6;2185;25;12;54625;13110;;;
jean;4;2183;19;8;41477;8732;;;
notre;5;2171;23;10;49933;10855;;;
travail;7;2169;34;14;73746;15183;;;
grandes;7;2166;32;14;69312;15162;;;
merci;5;2152;24;10;51648;10760;;;
assez;5;2145;22;10;47190;10725;;;
or;2;2133;11;4;23463;4266;;;
ecole;5;2132;23;10;49036;10660;;;
systeme;7;2124;31;14;65844;14868;;;
serie;5;2116;18;10;38088;10580;;;
long;4;2098;22;8;46156;8392;;;
moyen;5;2080;27;10;56160;10400;;;
parti;5;2070;24;10;49680;10350;;;
mere;4;2070;17;8;35190;8280;;;
ier;3;2068;12;6;24816;6204;;;
periode;7;2062;33;14;68046;14434;;;
durant;6;2057;29;12;59653;12342;;;
agit;4;2050;20;8;41000;8200;;;
differentes;11;2044;50;22;102200;22484;;;
ayant;5;2034;25;10;50850;10170;;;
jeux;4;2020;24;8;48480;8080;;;
bonjour;7;2017;41;14;82697;14119;;;
afrique;7;2003;35;14;70105;14021;;;
chef;4;1984;24;8;47616;7936;;;
autour;6;1982;30;12;59460;11892;;;
differents;10;1973;47;20;92731;19730;;;
generalement;12;1972;52;24;102544;23664;;;
x;1;1968;8;2;15744;1968;;;
page;4;1967;20;8;39340;7868;;;
charles;7;1966;34;14;66844;13762;;;
plupart;7;1963;36;14;70668;13741;;;
doivent;7;1962;35;14;68670;13734;;;
jeune;5;1960;23;10;45080;9800;;;
tete;4;1958;16;8;31328;7832;;;
mondiale;8;1955;38;16;74290;15640;;;
villes;6;1953;27;12;52731;11718;;;
rome;4;1953;20;8;39060;7812;;;
mot;3;1952;17;6;33184;5856;;;
part;4;1952;20;8;39040;7808;;;
seconde;7;1952;31;14;60512;13664;;;
petite;6;1943;26;12;50518;11658;;;
metres;6;1935;25;12;48375;11610;;;
dieu;4;1929;18;8;34722;7716;;;
femmes;6;1924;28;12;53872;11544;;;
face;4;1923;20;8;38460;7692;;;
belgique;8;1890;41;16;77490;15120;;;
cause;5;1889;21;10;39669;9445;;;
musique;7;1888;33;14;62304;13216;;;
situee;6;1886;23;12;43378;11316;;;
jeunes;6;1876;26;12;48776;11256;;;
ur;2;1868;10;4;18680;3736;;;
haut;4;1865;22;8;41030;7460;;;
appele;6;1865;27;12;50355;11190;;;
aide;4;1865;17;8;31705;7460;;;
donne;5;1856;23;10;42688;9280;;;
pierre;6;1848;26;12;48048;11088;;;
av;2;1848;11;4;20328;3696;;;
ancien;6;1846;25;12;46150;11076;;;
moment;6;1846;30;12;55380;11076;;;
equipe;6;1831;28;12;51268;10986;;;
ailleurs;8;1828;34;16;62152;14624;;;
russie;6;1827;23;12;42021;10962;;;
important;9;1822;45;18;81990;16398;;;
soleil;6;1816;26;12;47216;10896;;;
regions;7;1815;32;14;58080;12705;;;
utilise;7;1811;29;14;52519;12677;;;
avaient;7;1802;31;14;55862;12614;;;
deuxieme;8;1801;38;16;68438;14408;;;
connu;5;1801;25;10;45025;9005;;;
jamais;6;1789;29;12;51881;10734;;;
parmi;5;1784;25;10;44600;8920;;;
mon;3;1783;16;6;28528;5349;;;
lorsque;7;1780;34;14;60520;12460;;;
ordre;5;1778;25;10;44450;8890;;;
passe;5;1778;19;10;33782;8890;;;
etc;3;1773;14;6;24822;5319;;;
comment;7;1762;36;14;63432;12334;;;
espagne;7;1757;30;14;52710;12299;;;
fille;5;1751;24;10;42024;8755;;;
film;4;1741;22;8;38302;6964;;;
bois;4;1738;20;8;34760;6952;;;
possible;8;1735;37;16;64195;13880;;;
particulier;11;1721;52;22;89492;18931;;;
an;2;1718;8;4;13744;3436;;;
ecrit;5;1706;23;10;39238;8530;;;
angleterre;10;1703;44;20;74932;17030;;;
vient;5;1702;23;10;39146;8510;;;
donne;5;1702;23;10;39146;8510;;;
premiers;8;1700;35;16;59500;13600;;;
niveau;6;1697;27;12;45819;10182;;;
articles;8;1696;35;16;59360;13568;;;
but;3;1691;17;6;28747;5073;;;
bas;3;1688;14;6;23632;5064;;;
territoire;10;1682;45;20;75690;16820;;;
mettre;6;1681;27;12;45387;10086;;;
lorsqu;6;1672;31;12;51832;10032;;;
prend;5;1669;24;10;40056;8345;;;
vit;3;1667;16;6;26672;5001;;;
amerique;8;1666;37;16;61642;13328;;;
titre;5;1663;22;10;36586;8315;;;
membres;7;1656;33;14;54648;11592;;;
prix;4;1650;23;8;37950;6600;;;
hiver;5;1647;27;10;44469;8235;;;
demande;7;1646;32;14;52672;11522;;;
contr;5;1644;26;10;42744;8220;;;
femme;5;1644;25;10;41100;8220;;;
commence;8;1642;40;16;65680;13136;;;
cree;4;1640;17;8;27880;6560;;;
eglise;6;1639;25;12;40975;9834;;;
seulement;9;1635;37;18;60495;14715;;;
vont;4;1633;22;8;35926;6532;;;
te;2;1632;8;4;13056;3264;;;
parce;5;1623;24;10;38952;8115;;;
revolution;10;1603;50;20;80150;16030;;;
bon;3;1598;17;6;27166;4794;;;
parents;7;1592;30;14;47760;11144;;;
lumiere;7;1590;31;14;49290;11130;;;
porte;5;1589;25;10;39725;7945;;;
question;8;1576;37;16;58312;12608;;;
aurait;6;1573;27;12;42471;9438;;;
cinq;4;1571;21;8;32991;6284;;;
possede;7;1566;30;14;46980;10962;;;
college;7;1563;35;14;54705;10941;;;
prendre;7;1559;32;14;49888;10913;;;
fonction;8;1557;42;16;65394;12456;;;
rouge;5;1555;26;10;40430;7775;;;
the;3;1555;16;6;24880;4665;;;
mouvement;9;1548;45;18;69660;13932;;;
tes;3;1546;11;6;17006;4638;;;
seule;5;1543;19;10;29317;7715;;;
departement;11;1543;50;22;77150;16973;;;
couleur;7;1539;35;14;53865;10773;;;
ministre;8;1533;34;16;52122;12264;;;
ligne;5;1530;23;10;35190;7650;;;
devant;6;1516;29;12;43964;9096;;;
romain;6;1513;29;12;43877;9078;;;
succes;6;1507;26;12;39182;9042;;;
mieux;5;1505;26;10;39130;7525;;;
militaire;9;1503;40;18;60120;13527;;;
creer;5;1501;22;10;33022;7505;;;
moi;3;1495;16;6;23920;4485;;;
bonne;5;1488;24;10;35712;7440;;;
mis;3;1487;13;6;19331;4461;;;
chine;5;1487;25;10;37175;7435;;;
abord;5;1486;28;10;41608;7430;;;
savoir;6;1484;29;12;43036;8904;;;
mesure;6;1482;25;12;37050;8892;;;
taille;6;1481;26;12;38506;8886;;;
serait;6;1481;24;12;35544;8886;;;
air;3;1477;13;6;19201;4431;;;
situe;5;1475;20;10;29500;7375;;;
ni;2;1475;8;4;11800;2950;;;
nos;3;1475;13;6;19175;4425;;;
bataille;8;1475;37;16;54575;11800;;;
malgre;6;1474;30;12;44220;8844;;;
milieu;6;1469;27;12;39663;8814;;;
met;3;1457;14;6;20398;4371;;;
raison;6;1455;26;12;37830;8730;;;
mal;3;1455;15;6;21825;4365;;;
donner;6;1447;28;12;40516;8682;;;
union;5;1446;23;10;33258;7230;;;
enfant;6;1441;27;12;38907;8646;;;
produit;7;1440;37;14;53280;10080;;;
animal;6;1440;27;12;38880;8640;;;
trouver;7;1435;36;14;51660;10045;;;
sol;3;1432;14;6;20048;4296;;;
theatre;7;1429;33;14;47157;10003;;;
aller;5;1429;22;10;31438;7145;;;
rien;4;1428;16;8;22848;5712;;;
type;4;1422;22;8;31284;5688;;;
maison;6;1420;27;12;38340;8520;;;
livre;5;1420;24;10;34080;7100;;;
ma;2;1407;10;4;14070;2814;;;
energie;7;1406;29;14;40774;9842;;;
vu;2;1405;12;4;16860;2810;;;
soldats;7;1403;32;14;44896;9821;;;
palais;6;1403;26;12;36478;8418;;;
napoleon;8;1401;38;16;53238;11208;;;
frere;5;1398;23;10;32154;6990;;;
commune;7;1391;36;14;50076;9737;;;
importante;10;1389;48;20;66672;13890;;;
espace;6;1386;25;12;34650;8316;;;
celebre;7;1382;32;14;44224;9674;;;
loi;3;1381;15;6;20715;4143;;;
chateau;7;1380;35;14;48300;9660;;;
as;2;1378;7;4;9646;2756;;;
base;4;1373;17;8;23341;5492;;;
meurt;5;1373;24;10;32952;6865;;;
parle;5;1367;23;10;31441;6835;;;
gens;4;1366;17;8;23222;5464;;;
art;3;1365;14;6;19110;4095;;;
