word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
here;4;52934;23;8;1217482;211736
does;4;52654;21;8;1105734;210616
work;4;52344;25;8;1308600;209376
make;4;52320;22;8;1151040;209280
much;4;51796;22;8;1139512;207184
another;7;51546;34;14;1752564;360822
us;2;51353;12;4;616236;102706
day;3;51156;15;6;767340;153468
over;4;50246;27;8;1356642;200984
old;3;49098;17;6;834666;147294
