word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w
chine;5;1487;16;10;23792;7435
abord;5;1486;20;10;29720;7430
savoir;6;1484;27;12;40068;8904
mesure;6;1482;22;12;32604;8892
taille;6;1481;21;12;31101;8886
serait;6;1481;24;12;35544;8886
air;3;1477;14;6;20678;4431
situe;5;1475;22;10;32450;7375
ni;2;1475;11;4;16225;2950
nos;3;1475;19;6;28025;4425
bataille;8;1475;28;16;41300;11800
malgre;6;1474;21;12;30954;8844
milieu;6;1469;21;12;30849;8814
met;3;1457;11;6;16027;4371
raison;6;1455;29;12;42195;8730
mal;3;1455;11;6;16005;4365
donner;6;1447;21;12;30387;8682
union;5;1446;22;10;31812;7230
enfant;6;1441;25;12;36025;8646
produit;7;1440;29;14;41760;10080
animal;6;1440;21;12;30240;8640
trouver;7;1435;30;14;43050;10045
sol;3;1432;15;6;21480;4296
theatre;7;1429;28;14;40012;10003
aller;5;1429;20;10;28580;7145
rien;4;1428;18;8;25704;5712
type;4;1422;19;8;27018;5688
maison;6;1420;22;12;31240;8520
livre;5;1420;18;10;25560;7100
ma;2;1407;7;4;9849;2814
energie;7;1406;27;14;37962;9842
vu;2;1405;12;4;16860;2810
soldats;7;1403;30;14;42090;9821
palais;6;1403;21;12;29463;8418
napoleon;8;1401;43;16;60243;11208
frere;5;1398;22;10;30756;6990
commune;7;1391;26;14;36166;9737
importante;10;1389;42;20;58338;13890
espace;6;1386;19;12;26334;8316
celebre;7;1382;23;14;31786;9674
loi;3;1381;10;6;13810;4143
chateau;7;1380;27;14;37260;9660
as;2;1378;12;4;16536;2756
base;4;1373;17;8;23341;5492
meurt;5;1373;21;10;28833;6865
parle;5;1367;16;10;21872;6835
gens;4;1366;17;8;23222;5464
art;3;1365;16;6;21840;4095
plut;4;1362;17;8;23154;5448
marie;5;1352;17;10;22984;6760
films;5;1348;20;10;26960;6740
argent;6;1343;26;12;34918;8058
droite;6;1342;22;12;29524;8052
mes;3;1342;11;6;14762;4026
ados;4;1341;23;8;30843;5364
ici;3;1341;12;6;16092;4023
devenir;7;1339;24;14;32136;9373
chose;5;1332;17;10;22644;6660
besoin;6;1330;26;12;34580;7980
appelee;7;1327;32;14;42464;9289
principalement;14;1325;46;28;60950;18550
romains;7;1322;32;14;42304;9254
longtemps;9;1318;33;18;43494;11862
seront;6;1318;26;12;34268;7908
coree;5;1315;19;10;24985;6575
scientifique;12;1315;45;24;59175;15780
espece;6;1314;20;12;26280;7884
heures;6;1313;25;12;32825;7878
laquelle;8;1310;28;16;36680;10480
troisieme;9;1310;32;18;41920;11790
uvre;4;1310;18;8;23580;5240
rapidement;10;1307;40;20;52280;13070
enfin;5;1303;21;10;27363;6515
force;5;1302;18;10;23436;6510
conseil;7;1301;24;14;31224;9107
proche;6;1300;19;12;24700;7800
duc;3;1299;10;6;12990;3897
nomme;5;1297;22;10;28534;6485
produits;8;1296;33;16;42768;10368
vivent;6;1294;27;12;34938;7764
societe;7;1293;26;14;33618;9051
ton;3;1287;16;6;20592;3861
texte;5;1286;22;10;28292;6430
nationale;9;1279;38;18;48602;11511
presente;8;1277;35;16;44695;10216
plantes;7;1275;25;14;31875;8925
vote;4;1270;19;8;24130;5080
er;2;1267;9;4;11403;2534
idee;4;1263;18;8;22734;5052
allemand;8;1257;28;16;35196;10056
parler;6;1255;20;12;25100;7530
derniere;8;1253;27;16;33831;10024
nouvelles;9;1253;37;18;46361;11277
dessus;6;1252;21;12;26292;7512
nuit;4;1246;23;8;28658;4984
religion;8;1241;32;16;39712;9928
saison;6;1241;25;12;31025;7446
utilise;7;1240;26;14;32240;8680
presque;7;1240;27;14;33480;8680
rapport;7;1239;35;14;43365;8673
public;6;1238;19;12;23522;7428
japon;5;1238;22;10;27236;6190
interieur;9;1238;39;18;48282;11142
peuple;6;1237;22;12;27214;7422
regime;6;1237;25;12;30925;7422
maniere;7;1233;26;14;32058;8631
arrive;6;1231;25;12;30775;7386
reine;5;1229;23;10;28267;6145
super;5;1228;24;10;29472;6140
sert;4;1227;19;8;23313;4908
passer;6;1222;21;12;25662;7332
naissance;9;1222;38;18;46436;10998
pris;4;1221;15;8;18315;4884
plein;5;1213;17;10;20621;6065
politiques;10;1211;38;20;46018;12110
droits;6;1207;23;12;27761;7242
eleves;6;1205;24;12;28920;7230
pape;4;1197;15;8;17955;4788
xixe;4;1193;22;8;26246;4772
simple;6;1192;22;12;26224;7152
tant;4;1191;19;8;22629;4764
asie;4;1186;17;8;20162;4744
latin;5;1185;19;10;22515;5925
surface;7;1185;27;14;31995;8295
autriche;8;1184;32;16;37888;9472
education;9;1183;35;18;41405;10647
europeenne;10;1181;42;20;49602;11810
nouveaux;8;1180;37;16;43660;9440
philippe;8;1180;28;16;33040;9440
regne;5;1180;27;10;31860;5900
sens;4;1178;19;8;22382;4712
noir;4;1172;22;8;25784;4688
points;6;1171;26;12;30446;7026
utiliser;8;1170;30;16;35100;9360
celles;6;1168;18;12;21024;7008
service;7;1166;25;14;29150;8162
memes;5;1164;18;10;20952;5820
uni;3;1162;13;6;15106;3486
iles;4;1162;15;8;17430;4648
situation;9;1161;37;18;42957;10449
construction;12;1161;48;24;55728;13932
petites;7;1159;27;14;31293;8113
projet;6;1157;22;12;25454;6942
gros;4;1156;19;8;21964;4624
signifie;8;1151;26;16;29926;9208
photo;5;1150;22;10;25300;5750
henri;5;1147;23;10;26381;5735
vite;4;1146;17;8;19482;4584
action;6;1145;25;12;28625;6870
displaystyle;12;1139;44;24;50116;13668
gauche;6;1135;23;12;26105;6810
blanc;5;1132;19;10;21508;5660
catholique;10;1129;37;20;41773;11290
russe;5;1125;25;10;28125;5625
musee;5;1124;22;10;24728;5620
facon;5;1123;18;10;20214;5615
americain;9;1123;33;18;37059;10107
club;4;1123;16;8;17968;4492
compose;7;1117;26;14;29042;7819
rencontre;9;1112;39;18;43368;10008
production;10;1112;39;20;43368;11120
date;4;1109;13;8;14417;4436
rendre;6;1109;24;12;26616;6654
conditions;10;1109;39;20;43251;11090
decide;6;1109;14;12;15526;6654
retour;6;1108;30;12;33240;6648
choses;6;1106;21;12;23226;6636
vivre;5;1105;22;10;24310;5525
semaine;7;1101;25;14;27525;7707
coupe;5;1099;21;10;23079;5495
objets;6;1098;26;12;28548;6588
fort;4;1096;19;8;20824;4384
construit;9;1093;38;18;41534;9837
cm;2;1092;12;4;13104;2184
allemands;9;1091;32;18;34912;9819
terme;5;1084;18;10;19512;5420
pu;2;1084;9;4;9756;2168
personnage;10;1078;37;20;39886;10780
grec;4;1078;16;8;17248;4312
culture;7;1078;29;14;31262;7546
creation;8;1077;35;16;37695;8616
main;4;1075;15;8;16125;4300
appeles;7;1073;29;14;31117;7511
voit;4;1067;19;8;20273;4268
ancienne;8;1063;28;16;29764;8504
genre;5;1063;20;10;21260;5315
economique;10;1061;38;20;40318;10610
romaine;7;1061;30;14;31830;7427
aucun;5;1060;24;10;25440;5300
forment;7;1060;31;14;32860;7420
permettent;10;1057;39;20;41223;10570
troupes;7;1056;29;14;30624;7392
juste;5;1056;22;10;23232;5280
zone;4;1055;19;8;20045;4220
mise;4;1055;15;8;15825;4220
printemps;9;1051;34;18;35734;9459
vitesse;7;1050;28;14;29400;7350
majorite;8;1047;31;16;32457;8376
vue;3;1047;14;6;14658;3141
desormais;9;1043;32;18;33376;9387
six;3;1042;16;6;16672;3126
elu;3;1041;12;6;12492;3123
national;8;1040;36;16;37440;8320
vraiment;8;1038;32;16;33216;8304
pense;5;1036;18;10;18648;5180
actuellement;12;1035;43;24;44505;12420
difficile;9;1033;25;18;25825;9297
climat;6;1033;22;12;22726;6198
classe;6;1033;22;12;22726;6198
feu;3;1032;15;6;15480;3096
objet;5;1030;22;10;22660;5150
idees;5;1030;22;10;22660;5150
haute;5;1029;23;10;23667;5145
lyon;4;1029;19;8;19551;4116
pourrait;8;1027;32;16;32864;8216
retrouve;8;1026;36;16;36936;8208
coup;4;1025;18;8;18450;4100
recherche;9;1023;30;18;30690;9207
langues;7;1020;24;14;24480;7140
toi;3;1020;14;6;14280;3060
v;1;1020;7;2;7140;1020
assemblee;9;1019;37;18;37703;9171
mots;4;1018;18;8;18324;4072
accord;6;1015;21;12;21315;6090
eviter;6;1015;27;12;27405;6090
aime;4;1013;15;8;15195;4052
oiseaux;7;1011;30;14;30330;7077
image;5;1010;17;10;17170;5050
peux;4;1010;19;8;19190;4040
finalement;10;1007;33;20;33231;10070
devenu;6;1005;22;12;22110;6030
planete;7;1004;24;14;24096;7028
version;7;1004;28;14;28112;7028
maladie;7;1001;21;14;21021;7007
developpement;13;999;45;26;44955;12987
carriere;8;999;29;16;28971;7992
ocean;5;998;20;10;19960;4990
courant;7;997;29;14;28913;6979
lois;4;996;14;8;13944;3984
terres;6;996;24;12;23904;5976
tel;3;995;13;6;12935;2985
livres;6;993;22;12;21846;5958
gaz;3;992;17;6;16864;2976
pratique;8;991;31;16;30721;7928
scientifiques;13;990;49;26;48510;12870
traite;6;986;24;12;23664;5916
travaux;7;985;30;14;29550;6895
sauf;4;982;19;8;18658;3928
loin;4;981;16;8;15696;3924
nature;6;981;30;12;29430;5886
egypte;6;977;25;12;24425;5862
epouse;6;977;26;12;25402;5862
premieres;9;973;29;18;28217;8757
moyenne;7;972;28;14;27216;6804
combat;6;970;20;12;19400;5820
sort;4;962;21;8;20202;3848
paix;4;960;16;8;15360;3840
fer;3;960;14;6;13440;2880
sang;4;958;17;8;16286;3832
aider;5;957;19;10;18183;4785
cinema;6;957;23;12;22011;5742
album;5;957;25;10;23925;4785
maintenant;10;956;39;20;37284;9560
furent;6;955;26;12;24830;5730
militaires;10;955;35;20;33425;9550
poissons;8;954;35;16;33390;7632
connue;6;952;25;12;23800;5712
liberte;7;952;24;14;22848;6664
dix;3;951;12;6;11412;2853
yeux;4;951;21;8;19971;3804
francois;8;950;29;16;27550;7600
considere;9;947;32;18;30304;8523
quoi;4;946;17;8;16082;3784
probleme;8;946;27;16;25542;7568
style;5;946;22;10;20812;4730
sorte;5;946;23;10;21758;4730
etudes;6;945;22;12;20790;5670
deputes;7;945;29;14;27405;6615
victoire;8;944;31;16;29264;7552
groupes;7;943;30;14;28290;6601
ecrire;6;941;22;12;20702;5646
cite;4;941;15;8;14115;3764
organisation;12;940;48;24;45120;11280
proteger;8;940;36;16;33840;7520
cour;4;937;17;8;15929;3748
uvres;5;936;22;10;20592;4680
lequel;6;935;22;12;20570;5610
liste;5;934;17;10;15878;4670
aura;4;933;19;8;17727;3732
