word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;;
coree;5;1315;17;10;22355;6575;;;
scientifique;12;1315;46;24;60490;15780;;;
espece;6;1314;22;12;28908;7884;;;
heures;6;1313;22;12;28886;7878;;;
laquelle;8;1310;31;16;40610;10480;;;
troisieme;9;1310;34;18;44540;11790;;;
uvre;4;1310;17;8;22270;5240;;;
rapidement;10;1307;38;20;49666;13070;;;
enfin;5;1303;19;10;24757;6515;;;
force;5;1302;18;10;23436;6510;;;
conseil;7;1301;24;14;31224;9107;;;
proche;6;1300;23;12;29900;7800;;;
duc;3;1299;13;6;16887;3897;;;
nomme;5;1297;25;10;32425;6485;;;
produits;8;1296;27;16;34992;10368;;;
vivent;6;1294;23;12;29762;7764;;;
societe;7;1293;25;14;32325;9051;;;
ton;3;1287;14;6;18018;3861;;;
texte;5;1286;15;10;19290;6430;;;
nationale;9;1279;30;18;38370;11511;;;
presente;8;1277;30;16;38310;10216;;;
plantes;7;1275;23;14;29325;8925;;;
vote;4;1270;15;8;19050;5080;;;
er;2;1267;7;4;8869;2534;;;
idee;4;1263;20;8;25260;5052;;;
allemand;8;1257;30;16;37710;10056;;;
parler;6;1255;20;12;25100;7530;;;
derniere;8;1253;28;16;35084;10024;;;
nouvelles;9;1253;33;18;41349;11277;;;
dessus;6;1252;19;12;23788;7512;;;
nuit;4;1246;17;8;21182;4984;;;
religion;8;1241;31;16;38471;9928;;;
saison;6;1241;23;12;28543;7446;;;
utilise;7;1240;28;14;34720;8680;;;
presque;7;1240;28;14;34720;8680;;;
rapport;7;1239;28;14;34692;8673;;;
public;6;1238;27;12;33426;7428;;;
japon;5;1238;22;10;27236;6190;;;
interieur;9;1238;35;18;43330;11142;;;
peuple;6;1237;25;12;30925;7422;;;
regime;6;1237;28;12;34636;7422;;;
maniere;7;1233;29;14;35757;8631;;;
arrive;6;1231;19;12;23389;7386;;;
reine;5;1229;22;10;27038;6145;;;
super;5;1228;19;10;23332;6140;;;
