word,Nb_char (C_w),Freq (F_w),Nb_scan (S_w),Nb_act,S_w x F_w,C_w x F_w,,,
passe ,6,912,19,12,17328,5472,,,
temperature ,12,911,45,24,40995,10932,,,
quelque ,8,911,28,16,25508,7288,,,
sujet ,6,910,26,12,23660,5460,,,
parties ,8,910,28,16,25480,7280,,,
centrale ,9,910,32,18,29120,8190,,,
ufs ,4,908,20,8,18160,3632,,,
prince ,7,905,22,14,19910,6335,,,
port ,5,904,22,10,19888,4520,,,
utilisateur ,12,903,43,24,38829,10836,,,
populaire ,10,898,37,20,33226,8980,,,
voix ,5,898,22,10,19756,4490,,,
autant ,7,897,32,14,28704,6279,,,
etoile ,7,897,25,14,22425,6279,,,
elections ,10,895,35,20,31325,8950,,,
britannique ,12,894,45,24,40230,10728,,,
presence ,9,894,33,18,29502,8046,,,
journee ,8,892,33,16,29436,7136,,,
anciens ,8,892,27,16,24084,7136,,,
foret ,6,892,27,12,24084,5352,,,
automne ,8,892,33,16,29436,7136,,,
sept ,5,891,24,10,21384,4455,,,
lune ,5,891,18,10,16038,4455,,,
faisant ,8,890,28,16,24920,7120,,,
route ,6,890,28,12,24920,5340,,,
libre ,6,888,19,12,16872,5328,,,
cree ,5,888,18,10,15984,4440,,,
rend ,5,887,20,10,17740,4435,,,
of ,3,886,17,6,15062,2658,,,
siecles ,8,885,33,16,29205,7080,,,
football ,9,884,34,18,30056,7956,,,
morts ,6,884,24,12,21216,5304,,,
couleurs ,9,883,34,18,30022,7947,,,
jesus ,6,882,26,12,22932,5292,,,
cuisine ,8,882,30,16,26460,7056,,,
wikipedia ,10,881,36,20,31716,8810,,,
travers ,8,880,31,16,27280,7040,,,
meilleur ,9,879,29,18,25491,7911,,,
londres ,8,878,26,16,22828,7024,,,
antiquite ,10,878,40,20,35120,8780,,,
second ,7,877,26,14,22802,6139,,,
credit ,7,875,23,14,20125,6125,,,
avis ,5,875,22,10,19250,4375,,,
attaque ,8,874,32,16,27968,6992,,,
vivant ,7,872,30,14,26160,6104,,,
elements ,9,872,33,18,28776,7848,,,
new ,4,871,20,8,17420,3484,,,
amis ,5,871,22,10,19162,4355,,,
europeens ,10,871,41,20,35711,8710,,,
i ,2,870,8,4,6960,1740,,,
roman ,6,870,27,12,23490,5220,,,
